NAMESPACE              NAME                                        READY   UP-TO-DATE   AVAILABLE   AGE
adls                   arkiv-api                                   1/1     1            1           287d
adls                   arkiv-ui                                    1/1     1            1           286d
adls                   avbrudd-detektor                            1/1     1            1           287d
adls                   datanav-eksport                             1/1     1            1           286d
adls                   in-anlegg-api                               1/1     1            1           287d
adls                   in-avbrudd-api                              1/1     1            1           286d
adls                   in-hendelse                                 1/1     1            1           286d
adls                   nis-writer                                  0/0     0            0           286d
aqua                   ubuntu                                      1/2     2            1           293d
arcgis                 louvre-plugin                               0/1     0            0           388d
bad                    amisite-geo                                 0/1     1            0           462d
bad                    arcgis-in-dnan                              1/1     1            1           314d
bad                    bigquery-in-alarmsandevents                 1/1     1            1           462d
bad                    bigquery-in-amsaxmlparser-ideenova          1/1     1            1           462d
bad                    bigquery-in-handata-ideenova                1/1     1            1           462d
bad                    bigquery-in-nanstatistics                   1/1     1            1           461d
bad                    bigquery-in-poweroutage                     1/1     1            1           461d
bad                    bigquery-in-qualityreadings                 0/1     1            0           461d
bad                    bigquery-in-sierra                          1/1     1            1           249d
bad                    bigquery-in-topology                        0/1     1            0           461d
bad                    bigquery-jobs-backfiller                    1/1     1            1           461d
bad                    bigquery-jobs-slapercentiles                1/1     1            1           461d
bad                    elhub-ingress                               2/2     2            2           459d
bad                    hesmetervalues-ingress                      1/2     2            1           417d
bad                    hesmetervalues-monitoring                   1/1     1            1           419d
bad                    pushreceiver-bigquery-amidevice             1/1     1            1           461d
bad                    pushreceiver-bigquery-amisite               1/1     1            1           461d
bad                    pushreceiver-bigquery-devicecomponent       1/1     1            1           460d
bad                    pushreceiver-bigquery-deviceconfiguration   0/1     1            0           460d
bad                    pushreceiver-bigquery-devicetopology        0/1     1            0           460d
bad                    pushreceiver-bigquery-mobilenetworkinfo     1/1     1            1           460d
bad                    pushreceiver-bigquery-workorder             1/1     1            1           460d
bad                    pushreceiver-profiledmeterreadings          1/1     1            1           377d
bad                    quant-ingress                               2/2     2            2           459d
bad                    realtimeunits-api                           0/1     1            0           460d
bad                    smarthomereceiver-futurehome                0/1     1            0           367d
bad                    unverified-volumes-ingress-backfiller       0/1     1            0           461d
bad                    verified-volumes-ingress-backfiller         1/1     1            1           461d
bad                    voltage-api                                 1/1     1            1           291d
bad                    voltagedashboard                            1/1     1            1           277d
bad                    volumes-monitoring                          0/1     1            0           427d
bad                    weather-ingest-api                          1/1     1            1           341d
bad                    weather-ingest-forecast-feeder              1/1     1            1           459d
bad                    weather-ingest-observations-feeder          1/1     1            1           178d
bildedok               portal-admin-web                            1/1     1            1           21d
bildedok               portal-api                                  1/1     1            1           23d
bildedok               portal-web                                  1/1     1            1           21d
cab-extensions         in-customerprofile                          0/1     1            0           452d
cab-extensions         in-customerprofile-intility                 0/1     1            0           97d
convey                 api                                         1/1     1            1           104d
convey                 manifold                                    1/1     1            1           101d
convey                 sender                                      1/1     1            1           98d
core                   demo-api                                    1/1     1            1           287d
core                   demo-app                                    1/1     1            1           298d
core                   example-weatherforecast                     0/2     0            0           436d
core                   function-queue-processing                   1/1     1            1           152d
core                   github-repository-team-adder                1/1     1            1           452d
core                   github-webhooks-receiver                    0/0     0            0           130d
core                   oracle-worker                               0/0     0            0           40d
core                   pushreceiver-chart-testing                  0/1     0            0           81d
core                   skogshorn-drift-simulator                   1/1     1            1           21d
core                   skogshorn-ifs-simulator                     0/0     0            0           78d
core                   skogshorn-kunde-address-generator           0/0     0            0           6d21h
core                   skogshorn-kunde-simulator                   0/0     0            0           21d
core                   skogshorn-msi-simulator                     0/0     0            0           74d
core                   skogshorn-nett-location-generator           0/0     0            0           6d21h
core                   skogshorn-nett-simulator                    0/0     0            0           101d
core                   skogshorn-simulator-nett                    0/1     0            0           117d
core                   super-api                                   1/1     1            1           256d
core                   template-test-complex-api                   2/2     2            2           368d
core                   template-test-simple-api                    2/2     2            2           446d
core                   terraform-cloud-users-access-checker        0/0     0            0           181d
core                   terraform-cloud-users-access-remover        0/0     0            0           181d
core                   terraform-module-doc-generator              0/0     0            0           130d
core                   terraformcloud-webhooks-receiver            0/0     0            0           129d
core                   webhooks-creator                            0/0     0            0           135d
datascience            eventsdisplay                               0/1     1            0           297d
datascience            forecastsubstation                          1/1     1            1           241d
datascience            loadforecast                                1/1     1            1           97d
deviationimport        arcgis-cloud-worker                         1/1     1            1           17d
dns                    traefik                                     1/2     2            1           454d
dns                    traefik-internal                            2/2     2            2           444d
doktavle               api                                         0/1     0            0           5d2h
doktavle               doktavla-api                                1/1     1            1           5d2h
doktavle               doktavla-ui                                 1/1     1            1           5d1h
drops                  archiver                                    1/1     1            1           206d
drops                  classification-worker                       1/1     1            1           4d3h
drops                  classifiercorrelator                        1/1     1            1           206d
drops                  configuration-api                           1/1     1            1           454d
drops                  drops-api                                   1/1     1            1           198d
drops                  drops-ui                                    1/1     1            1           453d
drops                  drops-ui-nd                                 1/1     1            1           420d
drops                  drops-worker                                1/1     1            1           198d
drops                  ifs-document-api                            0/0     0            0           452d
drops                  in-alarms-and-events                        1/1     1            1           216d
drops                  in-cnan                                     1/1     1            1           452d
drops                  in-dnan                                     1/1     1            1           451d
drops                  in-poweroutage                              1/1     1            1           452d
drops                  in-topology                                 1/1     1            1           452d
drops                  indexer                                     1/1     1            1           206d
drops                  jobs                                        0/1     1            0           307d
drops                  kpi-updater-alarmsandevents                 1/1     1            1           65d
drops                  kpi-updater-amidevice                       1/1     1            1           65d
drops                  kpi-updater-amisite                         1/1     1            1           65d
drops                  kpi-updater-metervalues                     1/1     1            1           65d
drops                  kpi-updater-radionetwork                    1/1     1            1           65d
drops                  mdm-api                                     1/1     1            1           454d
drops                  orchestrator                                1/1     1            1           206d
drops                  scheduler-optimisationengine                1/1     1            1           454d
